PAC,province,city,county
511803,四川省,雅安市,名山区
511822,四川省,雅安市,荥经县
511823,四川省,雅安市,汉源县
511824,四川省,雅安市,石棉县
511825,四川省,雅安市,天全县
511826,四川省,雅安市,芦山县
511827,四川省,雅安市,宝兴县
511901,四川省,巴中市,
511902,四川省,巴中市,巴州区
511903,四川省,巴中市,恩阳区
511921,四川省,巴中市,通江县
511922,四川省,巴中市,南江县
511923,四川省,巴中市,平昌县
512000,四川省,资阳市,
512002,四川省,资阳市,雁江区
512021,四川省,资阳市,安岳县
512022,四川省,资阳市,乐至县
513200,四川省,阿坝藏族羌族自治州,
513201,四川省,阿坝藏族羌族自治州,马尔康市
513221,四川省,阿坝藏族羌族自治州,汶川县
513222,四川省,阿坝藏族羌族自治州,理县
513223,四川省,阿坝藏族羌族自治州,茂县
513224,四川省,阿坝藏族羌族自治州,松潘县
513225,四川省,阿坝藏族羌族自治州,九寨沟县
513226,四川省,阿坝藏族羌族自治州,金川县
513227,四川省,阿坝藏族羌族自治州,小金县
513228,四川省,阿坝藏族羌族自治州,黑水县
513230,四川省,阿坝藏族羌族自治州,壤塘县
513231,四川省,阿坝藏族羌族自治州,阿坝县
513232,四川省,阿坝藏族羌族自治州,若尔盖县
513233,四川省,阿坝藏族羌族自治州,红原县
513300,四川省,甘孜藏族自治州,
513301,四川省,甘孜藏族自治州,康定市
513322,四川省,甘孜藏族自治州,泸定县
513323,四川省,甘孜藏族自治州,丹巴县
513324,四川省,甘孜藏族自治州,九龙县
513325,四川省,甘孜藏族自治州,雅江县
513326,四川省,甘孜藏族自治州,道孚县
513327,四川省,甘孜藏族自治州,炉霍县
513328,四川省,甘孜藏族自治州,甘孜县
513329,四川省,甘孜藏族自治州,新龙县
513330,四川省,甘孜藏族自治州,德格县
513331,四川省,甘孜藏族自治州,白玉县
513332,四川省,甘孜藏族自治州,石渠县
513333,四川省,甘孜藏族自治州,色达县
513334,四川省,甘孜藏族自治州,理塘县
513335,四川省,甘孜藏族自治州,巴塘县
513336,四川省,甘孜藏族自治州,乡城县
513337,四川省,甘孜藏族自治州,稻城县
513338,四川省,甘孜藏族自治州,得荣县
513400,四川省,凉山彝族自治州,
513401,四川省,凉山彝族自治州,西昌市
513422,四川省,凉山彝族自治州,木里藏族自治县
513423,四川省,凉山彝族自治州,盐源县
513424,四川省,凉山彝族自治州,德昌县
513402,四川省,凉山彝族自治州,会理市
513426,四川省,凉山彝族自治州,会东县
513427,四川省,凉山彝族自治州,宁南县
513428,四川省,凉山彝族自治州,普格县
513429,四川省,凉山彝族自治州,布拖县
513430,四川省,凉山彝族自治州,金阳县
513431,四川省,凉山彝族自治州,昭觉县
513432,四川省,凉山彝族自治州,喜德县
513433,四川省,凉山彝族自治州,冕宁县
513434,四川省,凉山彝族自治州,越西县
513435,四川省,凉山彝族自治州,甘洛县
513436,四川省,凉山彝族自治州,美姑县
513437,四川省,凉山彝族自治州,雷波县
500100,,重庆市,
500101,,重庆市,万州区
500102,,重庆市,涪陵区
500103,,重庆市,渝中区
500104,,重庆市,大渡口区
500105,,重庆市,江北区
500106,,重庆市,沙坪坝区
500107,,重庆市,九龙坡区
500108,,重庆市,南岸区
500109,,重庆市,北碚区
500110,,重庆市,綦江区
500111,,重庆市,大足区
500112,,重庆市,渝北区
500113,,重庆市,巴南区
500114,,重庆市,黔江区
500115,,重庆市,长寿区
500116,,重庆市,江津区
500117,,重庆市,合川区
500118,,重庆市,永川区
500119,,重庆市,南川区
500120,,重庆市,璧山区
500151,,重庆市,铜梁区
500152,,重庆市,潼南区
500153,,重庆市,荣昌区
500154,,重庆市,开州区
500155,,重庆市,梁平区
500156,,重庆市,武隆区
500229,,重庆市,城口县
500230,,重庆市,丰都县
500231,,重庆市,垫江县
500233,,重庆市,忠县
500235,,重庆市,云阳县
500236,,重庆市,奉节县
500237,,重庆市,巫山县
500238,,重庆市,巫溪县
500240,,重庆市,石柱土家族自治县
500241,,重庆市,秀山土家族苗族自治县
500242,,重庆市,酉阳土家族苗族自治县
500243,,重庆市,彭水苗族土家族自治县
